Crop,Variety testing name/code,Offici al Rele ase Name,Year of rele ase,Owner(s)/ Licensee,Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield (t ha-1),Special attributes
MAIZE,336. 11C86,"SC
Simb
a 649",2017,"Seed Co
Limited","Seed Co
Kenya (Agri
Seed Co
Limited)","Medium &
Altitude Mid-
late zones",4-5,"8.0-
12.0"," Wide adaptability –
Does well in Medium,
mid-late and late
environments
 Robust plant type that
gives both high yield
and high biomass also
suitable as animal
feed
 Tolerance to leaf
diseases like blight,
rust and MSV
 Drought tolerance,
Good tip cover. Helps
in reducing water
entry into the cob
thus preventing
associated rots
 MSV tolerance
 Tolerant to lodging
 Flint medium sized
grains
 Stay green
 Drought tolerant
 Relatively uniform for
machine cutting"
MAIZE,"337. H12M
L1","H650
6",2017,"Kenya
Seed Co.
Ltd.","Kenya Seed
Co. Ltd.","Medium
altitude/transi
tional late",4-5,6 – 7,
MAIZE,"338. H13M
2","H650
7",2017,"Kenya
Seed Co.
Ltd.","Kenya Seed
Co. Ltd.","Mid late
altitude-late",4-5,8," Low ear placement
 GLS tolerant, Large
intermediate kernels
 Drought tolerant"
MAIZE,"339. EASH1
129","MH5
02
(Taji)",2018,"East
African
Seed
Company
Limited","East African
Seed
Company
Limited","Areas 1300-
1900m above
sea level such
as Machakos,
Makueni,
Kitui, Tharaka
nithi, Siaya,
Homabay.",4-5,7-9," Tolerant to GLS (2),
Rust (1), MSV (2) and
MLN (2.8)
 White semi-flint
grains
 Uniform cob
placement(Good for
mechanized
operations)
 Good milling quality
 Strong stalk (Reduced
lodging)"
MAIZE,"340. X28F
421W","PAN
3M-
05",2018,"Pioneer
Cooperat
ion
Overseas","Pioneer
Cooperation
Overseas","Meduim Dry-
Machakos,
Makueni,
Kitui, Tharaka
nithi, Siaya,
Homabay",3-4,4-9," Good standability
 Grain quality is semi-
flint
 Good Common Rust
tolerance
 Good Head Smut
resistance
 Maize Streak Virus
tolerant
 Drought tolerant"
MAIZE,"341. CKH
13605","ADV2
304
W",2018,"Advanta
Seed
Internati
onal","Advanta
Seed
Internationa
l","Medium
altitude (1400
- 1600 meters
above sea
level",4 - 5,5-7," Highly adaptable to
low nitrogen soils
 Tolerant to major leaf
diseases like GLS,
Turcicum, blight, MSV
 Good husk cover and
standability
 Uniform and good ear
placement
 Semi flint white grains"
MAIZE,"342. CKH
14396
0","ADV2
308
W",2018,"Advanta
Seed
Internati
onal","Advanta
Seed
Internationa
l","Moist
transitional
and Moist mid
altitude
regions",4,5-6," Excellent Drought
tolerance
 Tolerant to major leaf
diseases like GLS,
Turcicum, blight, MSV
 Good husk cover and
standability
 Semi flint white grains
 Drought tolerant"
MAIZE,"343. WE71
18","WE7
118",2018,AATF,"KALRO/CIM
MYT","Transitional
to mid-late
maturity
(1000-1500M)
- (Kangundo,
Meru,
Kathiani (Hill
Masses),
Mukuyuni,
Mwea and
Thika)",4-5,5.5-6.0," The hybrid is MLN
tolerant (2)
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"344. WE71
19","WE7
119",2018,AATF,"KALRO/CIM
MYT","Transitional
to mid-late
maturity
(1000-
1500M)-
(Kangundo,
Meru,
Kathiani (Hill
Masses),
Mukuyuni,
Mwea and
Thika)",4-5,5.5," The hybrid is MLN
tolerant (2.5)
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"345. WE61
09","WE6
109",2018,AATF,"KALRO/CIM
MYT","Transitional to
mod-late
maturity (500-
1000M)-
(Kangundo,
Meru,
Kathiani (Hill
Masses),
Mukuyuni,
Mwea and
Thika)",3-4,7," The hybrid is MLN
tolerant (2.7)
 Drought tolerant,
Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"346. KATEH
16-01","KALZ
m-
H4-
301",2018,KALRO,"KALRO-
Kabete","Transitional
to mid-late
maturity
(1000-
2200M)-
(Kangundo,
Meru,
Kathiani (Hill
Masses),
Mukuyuni,
Mwea, Bomet,
Narok and
Thika)",4-5,6.5-7.7," The hybrid is MLN
tolerant (2.04)
 Drought tolerant
 Resistant to maize
streak virus
 It has good plant and
ear aspects and
double cobber"
MAIZE,"347. KATEH
16-02","KALZ
m-
H4-
302",2018,KALRO,"KALRO-
Kabete","Transitional
to the dry land
(500-1800M)-
(Machakos,
Kitui,
Makueni,
Kangundo,
Meru,
Mukuyuni,
Mwea, Bomet,
Narok and
Thika)",3-4,5.9-6.7," The hybrid is MLN
tolerant (1.71)
 Drought tolerant
 Resistant to maize
streak virus
 It has good plant and
ear aspects and good
husk cover"
MAIZE,"348. KATEH
16-03","KALZ
m-
H4-
303",2018,KALRO,"KALRO-
Kabete","Transitional
to mid-late
maturity
(1000-2000
M)-
(Kangundo,
Meru,
Kathiani (Hill
Masses),
Mukuyuni,
Mwea ,
Bomet, Narok
and Thika)",4-5,5.5-6.1," The hybrid is MLN
tolerant (1.7)
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good plant and
ear aspects and good
husk cover"
MAIZE,"349. KATEH
14-02","KALZ
m-
H330
1",2018,KALRO,"KALRO-
Kabete","Growing in
the dry low
and
transitional to
dry-mid
altitude
regions (500-
1000M)",3-4,4.7," The hybrid is early
maturing
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"350. WE71
17","WE7
117",2018,AATF,"KALRO/CIM
MYT","Transitional
to mid-late
maturity
(1000-
1500M)-
(Kangundo,
Meru,
Kathiani (Hill
Masses),
Mukuyuni,
Mwea
andThika)",4-5,5.4-6.0," The hybrid is MLN
tolerant (2)
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"351. EASH1
220",Tajiri,2019,"East
African
Seed
Company
Limited","East African
Seed
Company
Limited","Altitude: 100-
1500 masl
Examples:
Kianjai,Mwea,
Homabay,Kan
gundo,Kathian
i,Mukuyuni,M
ariakani and
Thika",4-5,6-8," Good grain texture
 Uniform cob
placement( Good for
mechanized
operations)
 Good milling quality,
Strong stalks
(Reduced lodging)
 Drought tolerant"
MAIZE,"352. 11C33
30","SC
SIMB
A
661",2019,"SEED CO
GROUP",SEED CO,"Altitude:
1400-1600
masl AEZ:
UH3-4; LH2-4;
UM1-2
Examples:Emb
u, Busia,
Bungoma,
Siaya,
Kirinyaga,
Kericho, Nyeri.",4-5,8-10," Good standability
hence less lodging
 High shelling
percentage hence less
waste
 Stay green hybrid
 Highly uniform cob
placement
 Tight and closed tip
cover hence no bare
tips
 Excellent white grain,
Resistance to cob
diseases
 Very good tolerance
to GLS and leaf blight"
MAIZE,"353. CKML
N1500
74","SC
DUM
A
441",2019,"SEED CO
/
CIMMYT","SEED CO /
CIMMYT","Altitude: 100-
1200 m.a.s.l
AEZ: ; LM1-4;
L3-4, CL3
Examples:Mug
uga, Naivasha,
Bomet, Kisii,
Kisumu, Thika,
Meru,
Kangundo,
Machakos,
mariakani,
Mwea,
Kathiani,
Mukuyuni.",3-4,6-7," Tolerant to MLND
(score of 1-3 in the
scale of 1-9)
 Good standability
hence less lodging
 Tolerant to leaf
diseases like blight,
MSV and GLS
 Drought tolerant
hybrid"
MAIZE,"354. X35C4
54W","P350
6W",2019,"Pioneer
Hi-Bred
Kenya","Pioneer Hi
Bred
Zimbabwe","Altitude:
1400-1600
masl AEZ:
UH3-4; LH2-4;
UM1-2
Examples:
Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu",14-5,6.4-9," Semi Flint, Stable
hybrid
 Good MSV, Leaf blight
and GLS tolerance
 Good cob rot
tolerance
 Very good husk cover"
MAIZE,"355. WE61
08","WE6
108",2019,AATF,"KALRO/CIM
MYT","Altitude: 100-
1500 masl
Examples:
Kangundo,
Meru,
Kathiani (Hill
Masses),
Mukuyuni,
Mwea and
Thika",4-5,6-7," The hybrid is post
flowering drought
tolerant
 High yielder under
optimum and drought
conditions
 Resistant to major
leaf diseases such as
gray leaf
spot,Turcicum leaf
blight and maize
streak virus"
MAIZE,"356. WE61
10","WE6
110",2019,AATF,"KALRO/CIM
MYT","Altitude: 100-
1500 masl
Examples:
Kangundo,
Meru,
Kathiani (Hill
Masses),
Mukuyuni,
Mwea and
Thika",4-5,5-6," The hybrid is post
flowering drought
tolerant, (High yielder
under optimum and
drought conditions)
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"357. WE61
01","WE6
101",2019,AATF,"KALRO/CIM
MYT","Altitude: 100-
1500 masl
Examples:
Homa bay,
Kambi yam
awe, Kathiani,
Katumani,
Kiboko, Kitui,
Masongaleni,
mogotio,
Rwika and
salama) Kenya",3-4,4-6," The hybrid is post
flowering drought
tolerant
 Resistant to major
leaf diseases Ruch as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"358. WE61
03","WE6
103",2019,AATF,"KALRO/CIM
MYT","Altitude:
1400-1600
masl AEZ:
UH3-4; LH2-4;
UM1-2
Examples:
Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu",4-5,7-8," The hybrid is post
flowering drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"359. WE61
05","WE6
105",2019,AATF,"KALRO/CIM
MYT","Altitude:
1400-1600
masl AEZ:
UH3-4; LH2-4;
UM1-2
Examples:
Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu",4-5,6-7," The hybrid is post
flowering drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects
 Early maturing in the
highlands"
MAIZE,"360. WE61
06","WE6
106",2019,AATF,"KALRO/CIM
MYT","Altitude:
1400-1600
masl AEZ:
UH3-4; LH2-4;
UM1-2
Examples:
Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu",4-5,5-6," The hybrid is post
flowering drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"361. CKDH
H1500
8","ADV2
309
W",2019,"CIMMYT/
Advanta
Seed
Internati
onal","Advanta
Seed
Internationa
l","Altitude:
1400-1600
masl AEZ:
UH3-4; LH2-4;
UM1-2
Examples:
Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu",4-5,5-7," High shelling
percentage
 Tolerant to major leaf
diseases like GLS,
Turcicum, blight, MSV
 Good husk cover and
standability
 Uniform and good ear
placement"
MAIZE,"362. CKDH
H1506
4","ADV2
310
W",2019,"CIMMYT/
Advanta
Seed
Internati
onal","Advanta
Seed
Internationa
l","Altitude:
1400-1600
masl AEZ:
UH3-4; LH2-4;
UM1-2
Examples:
Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu",4-5,5-8," High shelling
percentage
 Tolerant to major leaf
diseases like GLS,
Turcicum, blight, MSV
 Good husk cover and
standability
 Uniform and good ear
placement"
MAIZE,"363. CZH12
57","SWA
RA
PLH
457",2019,"PEAL
AGRO
SERVICES","PEAL AGRO
SERVICES /
CIMMYT","Altitude: 100-
1200 m.a.s.l
AEZ: ; LM1-4;
L3-4, CL3
Examples:Mug
uga, Naivasha,
Bomet, Kisii,
Kisumu, Thika,
Meru,
Kangundo,
Machakos,
mariakani,
Mwea,
Kathiani,
Mukuyuni.",3-4,6-8," Drought tolerant
 Early maturing
 Good standability
 Good husk cover"
MAIZE,"364. CZH12
58","KISHI
NDO
PLH
458",2019,"PEAL
AGRO
SERVICES","PEAL AGRO
SERVICES /
CIMMYT","Altitude: 100-
1500 masl
Examples:
Kianjai,Mwea,
Homabay,Kan
gundo,Kathian
i,Mukuyuni,M
ariakani and
Thika",4-5,6.5-8," Drought tolerant
 Early maturing
 Good standability
 Good husk cover
 Double cobber"
MAIZE,"365. CKH
12602","SY
4150",2020,"Syngenta
E.A Ltd","Maintainer:
Syngenta,
Zambia
Source:
CIMMYT","Altitude: 600 -
1200 AEZ: Mid
–Low altitude
Sites:
Makueni,
Machakos,
Kitui, Thika,
Meru, Embu,
Kisumu, Siaya,
Busia,
Homabay,
Baringo,
Kiambu,
Muguga,
Bungoma",3-4,6.5 -7.5," Flint grain
 Good ear rot
tolerance
 Drought tolerant
 Good common rust
tolerance"
MAIZE,"366. CKH
12603","SY
6350",2020,"Syngenta
E.A Ltd","Maintainer:
Syngenta,
Zambia
Source:
CIMMYT","Altitude: 600-
1200 AEZ:
Mid-Low
altitude Sites:
Makueni,
Machakos,
Kitui, Thika,
Meru, Embu,
Kisumu, Siaya,
Busia,
Homabay,
Baringo,
Kiambu,
Muguga,
Bungoma",3-4,6.5 -7.5," Flint grain
 Drought tolerant
 Medium prolific
potential
 Good standability"
MAIZE,"367. CKH16
00055","SY
6450",2020,"Syngenta
E.A Ltd","Maintainer:
Syngenta,
Zambia
Source:
CIMMYT","Altitude: 600-
1200 AEZ: Mid
– Low altitude
Sites:
Makueni,
Machakos,
Kitui, Thika,
Meru, Embu,
Kisumu, Siaya,
Busia,
Homabay,
Baringo,
Kiambu,
Muguga,
Bungoma",3-4,6.5 -7.5," Flinty grain
 Low prolificacy
 Good standability
 Drought tolerant"
MAIZE,"368. SY
5344","SY
5344",2020,"Syngenta
E.A Ltd","Maintainer
& Source:
Syngenta
Zambia","Altitude:
1000-1500
AEZ: Mid –
Low altitude
Sites:
Makueni,
Machakos,
Kitui, Thika,
Meru, Embu,
Kisumu, Siaya,
Busia,
Homabay,
Baringo,
Kiambu,
Muguga,
Bungoma",3-4,7.5-8.5," Average ear rot
tolerance
 Average standability
 Drought tolerant
 Low prolificacy"
MAIZE,"369. X30M
330W","PAN
4M-
11",2020,"PIONEER
Hi-Bred
ZIMBAB
WE","PIONEER Hi-
Bred
ZIMBABWE","Altitude:1000-
1200m asl
AEZ:LM1-4
Sites:Kangund
o,Mbooni,Mac
hakos,Embu,
Meru,Siaya,Bu
sia,Homabay,T
hika,Muranga",3-4,6-8," Grain-semi flint
 Tolerance to MSV
 Drought tolerant
 Good husk cover
 Good cob placement"
MAIZE,"370. X30M
355W","P284
8W",2020,"PIONEER
Hi-Bred
ZIMBAB
WE","PIONEER Hi-
Bred
ZIMBABWE","Altitude:900-
1200m asl
AEZ:
Sites:Machako
s,Kitui,Homab
ay,Busia,Hom
abay,Siaya,Kis
umu,,Embu,Th
araka Nithi",3-3.5,6-8," Good grain quality
 Tolerance to MSV
 Drought tolerance
 Good cob placement"
MAIZE,"371. PAN
4M-23","PAN
4M-
23",2020,"PANNAR
SEED","PANNAR
SEED","Altitude:1000-
1200m asl
AEZ:LM1-4
Sites:
Kangundo,Mb
ooni,Machako
s,Embu,Meru,
Siaya,Busia,Ho
mabay,Thika,
Muranga",3-4,6-8," Good grain quality
 Tolerance to MSV
 Good cob placement
 Drought tolerant
 Good husk cover"
MAIZE,"372. PAN
7M-83","PAN7
M-83",2020,"PANNAR
SEED","PANNAR
SEED","Altitude:1200-
1500m
AEZ:UM1-4
Sites:kakameg
a,Nyeri,Nakur
u,Kirinyaga,Bu
ngoma,Vihiga,
Bomet,Kisii",4-5,7-9," Good grain quality
 Tolerance to MSV
 Good husk cover
 Tolerance to cob rots"
MAIZE,"373. 15C25
488","SC
447",2020,Seedco,Seedco,"Altitude – 100
to 1200 masl
AEZ: CL 1-5,
L(IL) 1-5, UM
3-5 Sites:
Muguga,
Naivasha,
Bomet, Kisii,
Kisumu, Thika,
Meru,
Kangundo,
Machakos,
mariakani,
Mwea,
Kathiani,
Mukuyuni.",3.5-4.5,5-6," Good standability
hence less lodging
 Drought tolerant
 Tolerant to MLND
 3-Way Hybrid"
MAIZE,"374. 16C37
289","SC
445",2020,Seedco,Seedco,"Altitude – 100
to 1200 masl
AEZ: CL 1-5,
L(IL) 1-5, UM
3-5 Sites:
Muguga,
Naivasha,
Bomet, Kisii,
Kisumu, Thika,
Meru,
Kangundo,
Machakos,
mariakani,
Mwea,
Kathiani,
Mukuyuni.",3.5-4.5,5-5.5," Highly tolerant to cob
diseases like diplodia
and fusarium cob rots
 White grain
 Tolerant to MLND
 Drought tolerant
 Single Cross Hybrid"
MAIZE,375. 12CK1,"SC
801",2020,Seedco,Seedco,"Altitude –
1400 to 1800
masl AEZ: LH
1-3, UM 1-2
Sites:
Bungoma,
Kakamega,
Kapsabet,
Nakuru, Kitale,
Eldoret,
Kabianga.",5.5- 6.0,9-12," Extended stay green
leading to longer
period of green Stover
availability for animal
feed
 Closed tip cover
hence no bare tips
leading to reduced
rots
 White grain – 3W
Hybrid
 Moderate Resistance
to cob diseases like
diplodia and fusarium
cob rots
 Highly tolerant to GLS
and leaf blight"
MAIZE,"376. SY
6444","SY
6444",2020,"Syngenta
E.A Ltd","Maintainer
& Source:
Syngenta
Zambia","Altitude: 1400
-1800, AEZ:
Mid-
Transitional
High altitude,
Sites: Western
Kenya, Elegyo
Marakwet,
Central Kenya,
Migori, Kisii,
Bomet,
Nyamira,
Narok, Njoro,
Bukura",5-6,9-10," Excellent Ear rot
tolerance
 Excellent GLS
tolerance
 Medium prolificacy
(density dependant)"
MAIZE,"377. UH53
54","BAZO
OKA",2021,"NASECO
/NACCRI
(NARO
Uganda)
Wakala
Africa
Limited","NASECO/NA
CCRI (NARO
-Uganda)","Altitude: 800-
1800 m.a.s.1
AEZ: LM1-4,
UM1-4, LH1-3
Sites: Busia,
Embu, Kaguru,
Kimaeti, Siaya,
Soin and
Wambugu,",4-5,8-12," Heavy Semi flint grain
with good grain
texture and milling
extraction
 Highly prolific double
cobber
 GLS and MSV and
Turcicum tolerant
 Uniform cob
placement with good
tip cover"
MAIZE,"378. X40H4
75W","PAN
7M-
87",2021,"PANNAR
SEED K
Limited","PANNAR
SEED LTD","Altitude:1200-
1500, AEZ:
LM1-4, Sites:
Busia, Embu,
Kaguru,
Kimaeti, Siaya,
Soin,
Wambugu",4-5,7-9," Grain-Flint
 Tolerance to diplodia
ear rot
 Tolerant to GLS
 Good standability
 Double cobs
 Highly adaptable
 Stay green
characteristic"
MAIZE,"379. X35H4
78W","PAN
5M-
37",2021,"PANNAR
SEED LTD","PANNAR
SEED LTD","Altitude:1200-
1500 AEZ:
LM1-4 Sites:
Busia, Embu,
Kaguru,
Kimaeti, Siaya,
Soin,
Wambugu",4-5,6-8," Tolerance to MSV
 Grain-Semi flint
 Tolerant to NLB
 Good standability
 Drooping
characteristic"
MAIZE,"380. SEG18
7RC","SY62
50",2021,"Syngenta
E.A Ltd","Syngenta
Zambia; Plot
5255,
Mukwa
Road, P. O.
Box 33088,
Heavy
Industrial
area,
Lusaka,
Zambia","Altitude:
1100—1900
m.a.s.l _AEZ:
LH 3-4, UM 1-
4, LM 1-4
Sites: Busia,
Embu,
Kimaeti,
Kirinyaga,
Siaya, Bukura,
Kiambu, Siaya,
Nyeri, Meru,
Kakamega,
Nakuru,
Homabay,
Kisii, Thika,
Machakos",3-4,7-10," Semi flint grain
 Drought tolerant
 Wide adaptation, over
region
 Excellent ear rot
tolerance
 Good lodging
resistance"
MAIZE,"381. SY505
4","SY50
54",2021,"Syngenta
E.A
Limited","Syngenta
Zambia","Altitude: 800-
1900 tn.a.s.l
AEZ: LH 3-4,
UM 1- 4, LM
1-4 Sites:
Busia, Embu,
Kimaeti,
Kirinyaga,
Siaya, Bukura,
Kiambu, Siaya,
Nyeri, Meru,
Kakamega,
Nakuru,
Homabay,
Kisii,
Kangundo,
Makueni,
Machakos,
Kitui,",3-4,6-9," Wide adaptation over
region
 Semi dent grain
 Good lodging
resistance
 Very good GLS
tolerance
 Drought tolerant"
MAIZE,"382. ETGM
601","ETG
M60
1
FALC
ON",,ETCIKL,ETCIKL,"Altitude:
1000-2000
m.a.s.l, AEZ :
LM 1-3, Sites:
Embu, Siaya,
Migori,Soin,
Kirinyaga,
Meru, Busia,
Kimaeti, Nyeri",3-4,9-10," Drought tolerant
 Grain-semi
flint(Intermediate)
 Medium maturity
 High grain density
 Good husk cover
 Good standability"
MAIZE,"383. X35N1
87W","X35N
187
W",,"PIONEER
Hi-Bred
Zimbamb
we","PIONEER Hi-
Bred
Zimbambwe","Altitude:
1200-1500
m.a.s.l AEZ: lm
1-3, Site:
Embu, Siaya,
Migori,Soin,
Kirinyaga,
Meru, Busia,
Kimaeti, Nyeri",3-4,8-11," Grain –semi flint
 Good husk cover
 Good standability
 Tolerance to NCLB
 Wide adaptability"
MAIZE,"384. X35N1
86W","X35N
186
W",,"PANNAR
SEED LTD","PANNAR
SEED LTD","Altitude:
1200-1500
m.a.s.l AEZ:
LM 1-3 Sites:
Nyeri, Kimaeti,
Siaya, Embu,
Meru,
Kirinyaga,Mig
ori, Busia, Soin",3-4,"7.5-
10.5"," Grain –semi flint
 Good husk cover
 Good standability
 Tolerance to NCLB"
MAIZE,"385. X40P6
39W","P402
5W",,"PIONEER
Hi-bred
(K) LTD","PIONEER Hi-
bred (K) LTD","Altitude:
1500-1800
m.a.s.l AEZ:
lh1-UM1-3
Sites: Uasin
Gishu, Trans –
Nzoia, Nakuru,
Kakamega,
Kisii, Kericho,
Nyamira",4-5,8-13," Grain –flint, Medium
cob placement
 Tolerant to GLS, NCLB,
Diplodia
 Excellent standability
 Excellent husk cover"
MAIZE,386. SC 557,"SC
557",2022,"SEED CO
GROUP","AGRI SEED
CO LIMITED","Altitude:300
to 1300 m.a.s.l
AEZ: LM 1-4,
UM 1-4, LH 1-
4 Sites:
Homabay,
Kangundo,
Kathiani,
Kianjai,
Mukuyuni,
Mwea, Thika
and similar
environments",3-4,"5.3 –
8.2"," Drought tolerance,
Closed tip hence
protecting the cob
from rainwater that
could lead to cob rots,
High tolerance to the
cob rots"
MAIZE,387. SC 559,"SC
559",2022,"SEED CO
GROUP","AGRI SEED
CO LIMITED","Altitude:300
to 1300 m.a.s.l
AEZ: LM 1-4,
UM 1-4, LH 1-
4 Sites:
Homabay,
Kangundo,
Kathiani,
Kianjai,
Mukuyuni,
Mwea, Thika
and similar
environments",3-4,"5.3 –
7.4"," Drought tolerance
 Closed tip hence
protecting the cob
from rainwater that
could lead to cob rots,
High tolerance to the
cob rots"
MAIZE,388. SC 555,"SC
555",2022,"SEED CO
GROUP","AGRI SEED
CO LIMITED","Altitude:300
to 1300 m.a.s.l
AEZ: LM 1-4,
UM 1-4, LH 1-
4 Sites:
Homabay,
Kangundo,
Kathiani,
Kianjai,
Mukuyuni,
Mwea, Thika
and similar
environments",4-5,"5.4 –
7.6"," Drought tolerance
 High shelling
percentage ensuring a
bigger proportion of
the cob being food"
MAIZE,"389. X40P6
40W","PAN
9M-
91",2022,"Corteva
agriscien
ce k ltd","Corteva
agriscience
k ltd","Altitude:1500-
1800 m.a.s.l
AEZ: UM-LH
Sites: Uasin
Gishu, Nakuru,
Kericho,
Kakemega,
Nandi, and
lower
highlands of
Kisii, Bomet,
Bungoma,
Laikipia,
Embu, Meru,
Nyeri,
Kirinyaga",5-6,9-11," Tolerance to Northern
Leaf Blight (Score of 2
in the scale of 1-5)
 Flint
 Good standability
 Low cob placement
 Good husk cover"
MAIZE,"390. X40N5
84W","P381
5W",2022,"Corteva
agriscien
ce k ltd","Corteva
agriscience
k ltd","Altitude:1500
m.a.s.l AEZ:
LM-UM Sites:
Kakamega,
Bungoma,
Nakuru,
kericho, and
upper midland
of Nyeri,
Embu, Busia,
Kirinyaga,
Kisii, Migori,
Bomet, Meru",3-4,7-10," Tolerance to Northern
Leaf Blight (Score of 2
in the scale of 1-5)
 Flint
 Good for milling-white
grain
 Wide adaptation-
grown in Mid-late to
transitional highland
 Good standability-Low
cob placement"
MAIZE,"391. X40M
329W","PAN
8M-
97",2022,"Corteva
agriscien
ce k ltd","Corteva
agriscience
k ltd","Altitude:1500
m.a.s.l AEZ:
LM-UM Sites:
Kakamega,
Bungoma,
Nakuru,
kericho, and
upper midland
of Nyeri,
Embu, Busia,
Kirinyaga,
Kisii, Migori,
Bomet, meru",3-4,9-11," Tolerance to GLS
Score of 1.5 in the
scale of 1-5)
 Resistance Northern
leaf blight (Score of 2
in the scale of 1-5)
 Good standability
(low ear placement
 Excellent grain texture
(Flint)
 Has wide adaptation
(grown from Medium
to Mid-late)"
MAIZE,"392. ETG M
401","ETG
M
401
FALC
ON",2022,ETCIKL,ETCIKL,"Altitude:60-
1500 m.a.s.
lAEZ: L 1-3
Sites:
Machakos,
Mbeere,
Lower Meru,
Kitui,
Makueni,
Narok,
Tharaka/Nithi,
Taveta, Kilifi,
Kwale",3-4,4-5," Drought tolerant
 Grain- semi
flint(intermediate)
 High grain density
 Good husk cover
 Good stand ability"
MAIZE,"393. ZMS
623","ZMS
623",2022,"Zambia
Seed
Company
Ltd
(Zamsee
d)","Zambia
Seed
Company
Ltd
(Zamseed)","Altitude:1000-
1500 m.a.s.l
Sites:
Kangundo,
Meru,
Kathiani,Muku
yuni, Mwea
and Thika",3-4,6-7," Drought tolerant
 Tolerant to cob rots"
MAIZE,"394. CKDH
H1700
18","KISHI
NDO
B
PLH
518",2022,"PEAL
AGRO
SERVICES
E ENTER.
CO LTD.","CIMMYT-
KENYA/PEAL
AGRO
SERVICES","Altitude: 800 -
2000 m.a.s.l
Sites: Embu,
Kirinyaga,
Busia, Meru,
Narok,
Kakamega,
Soin.",5-6,10-12," Good stand ability
 Low ear placement
 Excellent tolerance to
GLS(Score of 2 in the
scale of 1-5)"
MAIZE,"395. CKH15
5902","KIFA
RU
PLH
615",2022,"PEAL
AGRO
SERVICES
ENTER.
CO LTD.","CIMMYT-
KENYA/PEAL
AGRO
SERVICES","Altitude:1500-
2200 m.a.s.l
Sites:
Kakamega,
Lanet,Bukura,
Bumula Kitale,
Yala,
Mabanga.",5-6,11-13," Excellent tolerance to
GLS(Score of 2 in the
scale of 1-5)
 Good stand ability
 Good husk cover"
MAIZE,"396. Popco
rn
(R400
MR)","R400
MR",2023,"Crookha
m.co./Bt
Agrictura
l Ltd","Crookham.c
o./Bt
Agrictural
Ltd","Altitude:1000-
2100 m.a.s.l
AEZ: UM 3-4
Sites:Embu,
Kirinyaga,Kagu
ru,
Siaya,Soin,Bus
ia and Kimaeti",3-4,6-7," High resistance to
common blight
 High resistance to rust
and Northen con leaf
rust"
MAIZE,397. YG018,"COW
COR
N",2023,"Cultivo
Africa Ltd","Cultivo
Africa Ltd","Altitude:1000-
2100 m.a.s.l
AEZ:LH3 &
UM4 Site:
Embu, Nyeri,
Meru,Narok,B
omet,
Nakuru,Uasin
Gishu,
Tranzoia and
Nandi county",3-4,"50-53
fresh
weight"," Yellow maize
 Tolerant to GLS
(2),rust(1),MSV
(2),TLB (2)
 High crude protein
(11.95%)
 High dry matter
content (20.9%)
 High digestibility of
organic matter in dry
matter (71%)
 High energy (10.4%)"
MAIZE,398. FS 532,"FS
787",2023,"Oil Crop
Develop
ment Ltd","Oil Crop
Developmen
t Ltd","Altitude:1100-
2100 m.a.s.l
AEZ: UM 3-4
Site:Mwea,
Thika,Embu,
Kibos,
Kakemega,
Alupe Busia,
Kaguru,
Kimaite,Kiriny
aga, Siaya",4-5,5-7," Good grain texture
and grain density
 Strong stems that
does not lodge easily"
